mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
105,2.6016314162540475e+00,2.6016314162540475e+00,3.6792624331623971e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2673079010578661e-01,5.2932874855771794e-01,2.1637088850312318e-03,1.8619297327071970e-03,10,1152
106,2.6261751088602177e+00,2.6261751088602177e+00,3.7139724561167591e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2794435939530471e-01,5.2820877909551534e-01,2.2068003972656011e-03,1.1411727226649101e-03,10,1152
107,2.6507188014663878e+00,2.6507188014663878e+00,3.7486824790711211e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.1652385765147890e-01,5.1359435651995100e-01,2.1551283450644350e-03,1.9339274015022579e-03,10,1152
108,2.6752624940725580e+00,2.6752624940725580e+00,3.7833925020254835e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2420613410262940e-01,5.2416624189544681e-01,2.2088149485931909e-03,1.0331986109254657e-03,10,1152
109,2.6998061866787286e+00,2.6998061866787286e+00,3.8181025249798459e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2231441395062783e-01,5.2505206532518434e-01,2.2962602001147282e-03,2.5258764539757158e-03,10,1152
110,2.7243498792848988e+00,2.7243498792848988e+00,3.8528125479342084e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.1677576660336855e-01,5.2245331178097110e-01,2.1617994709292134e-03,3.2175068454482242e-03,10,1152
111,2.7488935718910690e+00,2.7488935718910690e+00,3.8875225708885703e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3447169702676989e-01,5.3213476192342779e-01,2.2733198030946973e-03,1.6865540034538826e-03,10,1152
112,2.7734372644972392e+00,2.7734372644972392e+00,3.9222325938429323e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.1908585943723828e-01,5.2110686751775726e-01,2.2219591355866096e-03,1.9355650419967995e-03,10,1152
113,2.7979809571034093e+00,2.7979809571034093e+00,3.9569426167972948e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2499450829409389e-01,5.2860438438094159e-01,2.2168167804523763e-03,2.3682946274125802e-03,10,1152
114,2.8225246497095799e+00,2.8225246497095799e+00,3.9916526397516572e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.1252004302879461e-01,5.1233403618708540e-01,2.1839663188187742e-03,6.7741290491059531e-04,10,1152
115,2.8470683423157501e+00,2.8470683423157501e+00,4.0263626627060196e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2144463202814384e-01,5.2229579862828102e-01,2.2027787251521882e-03,8.5374446944587446e-04,10,1152
116,2.8716120349219203e+00,2.8716120349219203e+00,4.0610726856603812e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.0899205198094999e-01,5.1052748490453947e-01,2.1866920720551887e-03,1.3327328756876874e-03,10,1152
117,2.8961557275280905e+00,2.8961557275280905e+00,4.0957827086147436e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2727654111207845e-01,5.2389713141447247e-01,2.2640862379305301e-03,1.9663323647760101e-03,10,1152
