nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,1322.6666666666665,72,0.015143295086635901,6.161410170046182e-05,8.266888206251922e-06,5.661049264224734e-08,3.756066713730423e-05,4.5212476416465184e-05,8.227645014547998e-07,4.85981618061679e-07
1,0.0015339807878856412,1344.0,72,0.01488890099247577,6.132671386100028e-05,8.803280213143498e-06,5.67182841497389e-08,4.795859480253112e-05,4.5185156715686816e-05,6.085810918418083e-07,5.202842728032272e-07
1,0.0015339807878856412,1365.3333333333333,72,0.01461864413262456,6.101264368941289e-05,9.330452766844543e-06,5.680993445846e-08,4.6412609672434616e-05,4.426166002242462e-05,-1.6703060470370396e-07,4.848522903265416e-07
1,0.0015339807878856412,1386.6666666666665,72,0.014332782306373058,6.063891830899305e-05,9.847689708596314e-06,5.689119616675877e-08,3.1915620488124e-05,4.4409153137453816e-05,9.113454841504735e-09,4.4569087095902626e-07
1,0.0015339807878856412,1408.0,72,0.014031685640648849,6.0215194437257085e-05,1.0354530914648354e-05,5.6990126515906735e-08,1.8046025015874673e-05,4.4670038459134e-05,6.731534870078084e-07,5.024940874001024e-07
1,0.0015339807878856412,1429.3333333333333,72,0.013715670449038906,5.9779788867115794e-05,1.0850392925509301e-05,5.706677344221124e-08,1.014281389624286e-05,4.4252684556448103e-05,8.677337412024981e-07,4.788637511970174e-07
1,0.0015339807878856412,1450.6666666666665,72,0.013384756831450533,5.9332988640143906e-05,1.1334661358888587e-05,5.7111575719750354e-08,1.0183456991739508e-05,4.435214349654346e-05,9.09551572820961e-08,4.932777910509874e-07
1,0.0015339807878856412,1472.0,72,0.013039317478122673,5.88624241543011e-05,1.1807269881726658e-05,5.718410952787145e-08,1.7002943208140543e-05,4.531079327848648e-05,-5.635149203064421e-07,5.105098146089781e-07
1,0.0015339807878856412,1493.3333333333333,72,0.012680005940552443,5.835806236243603e-05,1.2267595136264e-05,5.7268907225708494e-08,1.812663060526961e-05,4.4770534483530846e-05,-2.7726130684708977e-08,5.654752031388539e-07
1,0.0015339807878856412,1514.6666666666665,72,0.012307045268664227,5.779169976058445e-05,1.2714493926767761e-05,5.732406644227319e-08,9.524187470520284e-06,4.2993491700976586e-05,-8.269059747614202e-09,5.57878418034886e-07
1,0.0015339807878856412,1536.0,72,0.011920782534677347,5.7152040321937125e-05,1.3147925953509243e-05,5.73924367130997e-08,2.27465333863887e-06,4.400852818238997e-05,-9.771261913632596e-07,6.269527117807343e-07
1,0.0015339807878856412,1557.3333333333333,72,0.011522034680334208,5.645165893194841e-05,1.3567767591692404e-05,5.747577193529107e-08,4.50323916172089e-06,4.509055667979872e-05,-5.608162517955873e-07,5.650845192994255e-07
1,0.0015339807878856412,1578.6666666666665,72,0.011111266028559493,5.568621768801044e-05,1.3972814964979093e-05,5.751348847109335e-08,1.8280356131328377e-05,4.3321280265144494e-05,4.376668573643923e-07,5.348501173336093e-07
