mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
77,1.9144080232812801e+00,1.9144080232812801e+00,2.7073817904402544e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6318323002729888e-01,2.6406548528629759e-01,1.1078036340763488e-03,7.9189392943425352e-04,10,1152
78,1.9389517158874505e+00,1.9389517158874505e+00,2.7420918133946168e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5858427684185642e-01,2.5790411838976840e-01,1.0968185352296348e-03,1.1682635827626887e-03,10,1152
79,1.9634954084936207e+00,1.9634954084936207e+00,2.7768018363489788e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5917527191277617e-01,2.5950639507811463e-01,1.0572239267292176e-03,5.8028210501400758e-04,10,1152
80,1.9880391010997909e+00,1.9880391010997909e+00,2.8115118593033408e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5978869176032954e-01,2.6014293602735167e-01,1.0403432157785259e-03,6.6683995249956763e-04,10,1152
81,2.0125827937059610e+00,2.0125827937059610e+00,2.8462218822577032e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5650522736649378e-01,2.5684495852212286e-01,1.0988906157714013e-03,5.6068072144000174e-04,10,1152
82,2.0371264863121317e+00,2.0371264863121317e+00,2.8809319052120657e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6307750061859825e-01,2.6229761245582933e-01,1.0587434225998958e-03,7.7586146604871706e-04,10,1152
83,2.0616701789183018e+00,2.0616701789183018e+00,2.9156419281664281e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5987553352272447e-01,2.5977287354025408e-01,1.0978050062830924e-03,4.5176312870018293e-04,10,1152
84,2.0862138715244720e+00,2.0862138715244720e+00,2.9503519511207901e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6160863480176222e-01,2.6356993232722731e-01,1.1619647463199175e-03,1.5221870233058125e-03,10,1152
85,2.1107575641306422e+00,2.1107575641306422e+00,2.9850619740751521e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5701310075078015e-01,2.5893544430228838e-01,1.0752118561907129e-03,1.0672360226769725e-03,10,1152
86,2.1353012567368124e+00,2.1353012567368124e+00,3.0197719970295140e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5648687831171052e-01,2.5653806997838974e-01,1.0538179230725636e-03,7.9970880350952421e-04,10,1152
87,2.1598449493429825e+00,2.1598449493429825e+00,3.0544820199838765e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5980497751095410e-01,2.5760931527606473e-01,1.0520064086539313e-03,1.9318968759150915e-03,10,1152
88,2.1843886419491532e+00,2.1843886419491532e+00,3.0891920429382389e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5643591738766092e-01,2.5673778335900910e-01,1.1233455575993176e-03,7.3750491508347768e-04,10,1152
89,2.2089323345553233e+00,2.2089323345553233e+00,3.1239020658926013e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5723773040653497e-01,2.5844069474663300e-01,1.0792176082777909e-03,7.9444761543303623e-04,10,1152
90,2.2334760271614935e+00,2.2334760271614935e+00,3.1586120888469633e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5389494410476648e-01,2.5293681504053522e-01,1.0364009452309946e-03,6.9457995730797819e-04,10,1152
91,2.2580197197676637e+00,2.2580197197676637e+00,3.1933221118013253e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5001537880221697e-01,2.4921251538466827e-01,1.0062105651798302e-03,4.6246724237055450e-04,10,1152
92,2.2825634123738339e+00,2.2825634123738339e+00,3.2280321347556877e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5135121870589600e-01,2.5092571484233639e-01,1.0297650433353234e-03,9.0460477135057742e-04,10,1152
93,2.3071071049800045e+00,2.3071071049800045e+00,3.2627421577100502e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5654776872859930e-01,2.5756914676794740e-01,1.0677306566068880e-03,8.4606239073971366e-04,10,1152
94,2.3316507975861747e+00,2.3316507975861747e+00,3.2974521806644126e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4760999833814601e-01,2.4724791864671455e-01,1.0408346378219312e-03,6.0433048852765901e-04,10,1152
95,2.3561944901923448e+00,2.3561944901923448e+00,3.3321622036187746e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4532056795315510e-01,2.4583896885401751e-01,1.0345342880757986e-03,8.2815632472832738e-04,10,1152
96,2.3807381827985150e+00,2.3807381827985150e+00,3.3668722265731366e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5325900701529275e-01,2.5195880202708282e-01,1.0296801288885243e-03,1.2011542317347658e-03,10,1152
97,2.4052818754046852e+00,2.4052818754046852e+00,3.4015822495274990e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4604286222430843e-01,2.4547392898840786e-01,1.0290789527495486e-03,1.4086835109161457e-03,10,1152
98,2.4298255680108558e+00,2.4298255680108558e+00,3.4362922724818614e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4707824141703039e-01,2.4809403669620286e-01,1.0483595532828510e-03,8.0372626008834566e-04,10,1152
99,2.4543692606170260e+00,2.4543692606170260e+00,3.4710022954362239e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4717180857736176e-01,2.4646489647097133e-01,1.0443912509782596e-03,1.0463696071849353e-03,10,1152
100,2.4789129532231962e+00,2.4789129532231962e+00,3.5057123183905858e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.5196683480387955e-01,2.5065845854570690e-01,1.0215500890219161e-03,8.7270430720388372e-04,10,1152
101,2.5034566458293663e+00,2.5034566458293663e+00,3.5404223413449478e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4494801693585236e-01,2.4451789393410844e-01,1.0260712658402664e-03,8.9161385888852614e-04,10,1152
102,2.5280003384355365e+00,2.5280003384355365e+00,3.5751323642993098e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4733183157577412e-01,2.4696371431004033e-01,1.0637792493965489e-03,4.7253419270614362e-04,10,1152
103,2.5525440310417071e+00,2.5525440310417071e+00,3.6098423872536727e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4781515060931630e-01,2.4764466917844760e-01,1.0368065520152327e-03,1.1570758447539660e-03,10,1152
104,2.5770877236478773e+00,2.5770877236478773e+00,3.6445524102080347e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4276841619440287e-01,2.4257947227399773e-01,9.9669697752755807e-04,2.6617172417513793e-04,10,1152
