time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
2.1348352000000000e+07,1.3037175632062835e+05,6.7049117943229401e+04,9.2244452483634238e-10,9.1545703957402195e-10,6.0000937981967982e+03,6.9800571272496441e+01,2.0020780865495275e+04,4.7822053698244512e-11,6.8275288173279736e-11,7.0318666178360309e+02
2.1364736000000000e+07,1.3056502189122413e+05,6.6961595982762476e+04,9.2446875093543615e-10,9.0963391772804751e-10,5.9809375083412169e+03,1.4913634856373025e+02,2.0179120416437559e+04,5.0571334186228678e-11,7.4484395442740896e-11,7.0365618531269354e+02
2.1381120000000000e+07,1.3054263407675558e+05,6.6903256054230253e+04,9.2541027729604431e-10,9.1822739632748966e-10,5.9625143703122067e+03,1.7484388557251492e+02,2.0377992324512015e+04,5.3432203673442008e-11,7.6382721323125103e-11,7.0373878552288284e+02
2.1397504000000000e+07,1.3051868127087063e+05,6.6824248759727518e+04,9.2076026662248962e-10,9.0912111903124927e-10,5.9607765039279575e+03,9.4085333526979468e+01,2.0564671302049243e+04,5.4265125599968613e-11,7.6315167543614500e-11,7.0766955432620205e+02
2.1413888000000000e+07,1.3039568379913559e+05,6.6747339896559424e+04,9.1750848986455813e-10,9.0862328131982027e-10,5.9587740211060773e+03,1.0362607973960593e+02,2.0753274738839445e+04,5.4188604258090501e-11,8.1746525610968518e-11,7.1752475380559429e+02
2.1430272000000000e+07,1.3060138780125741e+05,6.6748009294929521e+04,9.1578045940969331e-10,9.2308021357974475e-10,5.9499132429893552e+03,1.1592419387747454e+02,2.0986469120346141e+04,5.8366822349642940e-11,8.6594963371313400e-11,7.1528169707423467e+02
2.1446656000000000e+07,1.3074765378419017e+05,6.6762402394903984e+04,9.1867296998436059e-10,9.1831288907396185e-10,5.9300391139432049e+03,1.2251615333562290e+02,2.1200622815438954e+04,5.6666171721837323e-11,7.8400560431560180e-11,7.2485305875740778e+02
2.1463040000000000e+07,1.3040071932613314e+05,6.6742402183685554e+04,9.1531437038256446e-10,9.2086133457364807e-10,5.9286788073588523e+03,8.3041584835528013e+01,2.1392851045788837e+04,5.5702120070729437e-11,8.3045580520236410e-11,7.3673945035709289e+02
2.1479424000000000e+07,1.3056965098873769e+05,6.6803881310657336e+04,9.2144026049637816e-10,9.2912228721279059e-10,5.9036701922859165e+03,1.1100080297640835e+02,2.1593874294098234e+04,5.5268936101031045e-11,8.0758499238672413e-11,7.4785888947324815e+02
2.1495808000000000e+07,1.3054242247985452e+05,6.6875542318644657e+04,9.2478833044832504e-10,9.3029100929310660e-10,5.8870743486011243e+03,1.6744673228333141e+02,2.1799763736156692e+04,5.4295434462574743e-11,8.1685968169611074e-11,7.5839316839863613e+02
2.1512192000000000e+07,1.3047995804391983e+05,6.6956470824782955e+04,9.1845905344140714e-10,9.3115410469424346e-10,5.8949187732568298e+03,1.5184415838246477e+02,2.2004015579698538e+04,5.5502699997486996e-11,8.1729720516765829e-11,7.6259160967639389e+02
2.1528576000000000e+07,1.3035227908656404e+05,6.7089107043171971e+04,9.1732987687290093e-10,9.2613606857818979e-10,5.8894471286017952e+03,1.2300180086451533e+02,2.2199973386994883e+04,5.6951489384954568e-11,7.9683855739292374e-11,7.6251280563249099e+02
2.1544960000000000e+07,1.3031342569626562e+05,6.7167764557818547e+04,9.1538598180686000e-10,9.1601485305643114e-10,5.8899603371677422e+03,1.1544549962070840e+02,2.2368476260417807e+04,5.7171093438671740e-11,8.1900266412118863e-11,7.7124678814982849e+02
2.1561344000000000e+07,1.3053890735275830e+05,6.7156640479103036e+04,9.0654879172595353e-10,9.0348733120691446e-10,5.9012457933459709e+03,1.4294783182930661e+02,2.2536922709898921e+04,6.0202013577355474e-11,7.7297075460894108e-11,7.7086460767708263e+02
